table_name	rule	rule_text	is_required
answer	ENU	Must not use ENUM columns. Use authority FK instead.	1
answer	LAW1	Must reference authorities via FK, not duplicate concepts as text/ENUM columns	1
answer	LAW3	Must store one piece of truth, not a narrative. Story is assembled by following FKs.	1
answer	LAW6	Must use Type, Category, Domain, Status, Priority, Severity, Group. No specialized versions like MethodType, ErrorType, ClassType. The table name provides context.	1
answer	SVU	No specialized version of Type. Use Type column referencing type authority. No MethodType, ErrorType, ClassType.	1
cause	ENU	Must not use ENUM columns. Use authority FK instead.	1
cause	LAW1	Must reference authorities via FK, not duplicate concepts as text/ENUM columns	1
cause	LAW3	Must store one piece of truth, not a narrative. Story is assembled by following FKs.	1
cause	LAW6	Must use Type, Category, Domain, Status, Priority, Severity, Group. No specialized versions like MethodType, ErrorType, ClassType. The table name provides context.	1
cause	SVU	No specialized version of Type. Use Type column referencing type authority. No MethodType, ErrorType, ClassType.	1
Class	LAW1	Must reference authorities via Type, Category, Domain, Status, Priority, Severity, Group. No specialized versions like MethodType or ClassType.	1
Class	LAW3	Each entity stores its own representations (Code, BCL, BCLIR, Graph). Relationships are in join tables, not embedded lists.	1
Class	LAW4	Composition is via join tables (ComputationUnitMethod, ClassComputationUnit). No embedded method lists inside ComputationUnit or Class.	1
Class	LAW5	Each representation (Code, BCL, BCLIR, Graph) is a different view of the same entity. Meaning comes from the entity, not from the representation.	1
Class	LAW6	Must use Type, Category, Domain, Status, Priority, Severity, Group. No specialized versions like MethodType, ErrorType, ClassType. The table name provides context.	1
Class	NCC	No compound column names. Use Name, BCL, BCLIR, Graph, Type. No underscores. No method_name, bcl_ir, graph_id.	1
Class	SVU	No specialized version of Type. Use Type column referencing type authority. No MethodType, ErrorType, ClassType.	1
ClassComputationUnit	LAW4	Composition is via join tables (ComputationUnitMethod, ClassComputationUnit). No embedded method lists inside ComputationUnit or Class.	1
ComputationUnit	LAW1	Must reference authorities via Type, Category, Domain, Status, Priority, Severity, Group. No specialized versions like MethodType or ClassType.	1
ComputationUnit	LAW3	Each entity stores its own representations (Code, BCL, BCLIR, Graph). Relationships are in join tables, not embedded lists.	1
